ID,Replicate,Bottleneck,timepoint,Total spacers,Zero,One,Two ,Three ,Four,FiveOrMore,Single,Multiple
8.2,8,5-clone,t7,,,,,,,,,
8.21,8,5-clone,t7,,,,,,,,,
8.22,8,5-clone,t7,,,,,,,,,
8.23,8,5-clone,t7,,,,,,,,,
8.24,8,5-clone,t7,,,,,,,,,
9.1,9,5-clone,t7,,,,,,,,,
9.2,9,5-clone,t7,,,,,,,,,
9.3,9,5-clone,t7,,,,,,,,,
9.4,9,5-clone,t7,,,,,,,,,
9.5,9,5-clone,t7,,,,,,,,,
9.6,9,5-clone,t7,,,,,,,,,
9.7,9,5-clone,t7,,,,,,,,,
9.8,9,5-clone,t7,,,,,,,,,
9.9,9,5-clone,t7,,,,,,,,,
9.1,9,5-clone,t7,,,,,,,,,
9.11,9,5-clone,t7,,,,,,,,,
9.12,9,5-clone,t7,,,,,,,,,
9.13,9,5-clone,t7,,,,,,,,,
9.14,9,5-clone,t7,,,,,,,,,
9.15,9,5-clone,t7,,,,,,,,,
9.16,9,5-clone,t7,,,,,,,,,
9.17,9,5-clone,t7,,,,,,,,,
9.18,9,5-clone,t7,,,,,,,,,
9.19,9,5-clone,t7,,,,,,,,,
9.2,9,5-clone,t7,,,,,,,,,
9.21,9,5-clone,t7,,,,,,,,,
9.22,9,5-clone,t7,,,,,,,,,
9.23,9,5-clone,t7,,,,,,,,,
9.24,9,5-clone,t7,,,,,,,,,
10.1,10,5-clone,t7,,,,,,,,,
10.2,10,5-clone,t7,,,,,,,,,
10.3,10,5-clone,t7,,,,,,,,,
10.4,10,5-clone,t7,,,,,,,,,
10.5,10,5-clone,t7,,,,,,,,,
10.6,10,5-clone,t7,,,,,,,,,
10.7,10,5-clone,t7,,,,,,,,,
10.8,10,5-clone,t7,,,,,,,,,
10.9,10,5-clone,t7,,,,,,,,,
10.1,10,5-clone,t7,,,,,,,,,
10.11,10,5-clone,t7,,,,,,,,,
10.12,10,5-clone,t7,,,,,,,,,
10.13,10,5-clone,t7,,,,,,,,,
10.14,10,5-clone,t7,,,,,,,,,
10.15,10,5-clone,t7,,,,,,,,,
10.16,10,5-clone,t7,,,,,,,,,
10.17,10,5-clone,t7,,,,,,,,,
10.18,10,5-clone,t7,,,,,,,,,
10.19,10,5-clone,t7,,,,,,,,,
10.2,10,5-clone,t7,,,,,,,,,
10.21,10,5-clone,t7,,,,,,,,,
10.22,10,5-clone,t7,,,,,,,,,
10.23,10,5-clone,t7,,,,,,,,,
10.24,10,5-clone,t7,,,,,,,,,
11.1,11,5-clone,t7,,,,,,,,,
11.2,11,5-clone,t7,,,,,,,,,
11.3,11,5-clone,t7,,,,,,,,,
11.4,11,5-clone,t7,,,,,,,,,
11.5,11,5-clone,t7,,,,,,,,,
11.6,11,5-clone,t7,,,,,,,,,
11.7,11,5-clone,t7,,,,,,,,,
11.8,11,5-clone,t7,,,,,,,,,
11.9,11,5-clone,t7,,,,,,,,,
11.1,11,5-clone,t7,,,,,,,,,
11.11,11,5-clone,t7,,,,,,,,,
11.12,11,5-clone,t7,,,,,,,,,
11.13,11,5-clone,t7,,,,,,,,,
11.14,11,5-clone,t7,,,,,,,,,
11.15,11,5-clone,t7,,,,,,,,,
11.16,11,5-clone,t7,,,,,,,,,
11.17,11,5-clone,t7,,,,,,,,,
11.18,11,5-clone,t7,,,,,,,,,
11.19,11,5-clone,t7,,,,,,,,,
11.2,11,5-clone,t7,,,,,,,,,
11.21,11,5-clone,t7,,,,,,,,,
11.22,11,5-clone,t7,,,,,,,,,
11.23,11,5-clone,t7,,,,,,,,,
11.24,11,5-clone,t7,,,,,,,,,
12.1,12,5-clone,t7,,,,,,,,,
12.2,12,5-clone,t7,,,,,,,,,
12.3,12,5-clone,t7,,,,,,,,,
12.4,12,5-clone,t7,,,,,,,,,
12.5,12,5-clone,t7,,,,,,,,,
12.6,12,5-clone,t7,,,,,,,,,
12.7,12,5-clone,t7,,,,,,,,,
12.8,12,5-clone,t7,,,,,,,,,
12.9,12,5-clone,t7,,,,,,,,,
12.1,12,5-clone,t7,,,,,,,,,
12.11,12,5-clone,t7,,,,,,,,,
12.12,12,5-clone,t7,,,,,,,,,
12.13,12,5-clone,t7,,,,,,,,,
12.14,12,5-clone,t7,,,,,,,,,
12.15,12,5-clone,t7,,,,,,,,,
12.16,12,5-clone,t7,,,,,,,,,
12.17,12,5-clone,t7,,,,,,,,,
12.18,12,5-clone,t7,,,,,,,,,
12.19,12,5-clone,t7,,,,,,,,,
12.2,12,5-clone,t7,,,,,,,,,
12.21,12,5-clone,t7,,,,,,,,,
12.22,12,5-clone,t7,,,,,,,,,
12.23,12,5-clone,t7,,,,,,,,,
12.24,12,5-clone,t7,,,,,,,,,
